Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-11-07 00:00:00.000;TCZP0027;IT0002132;INC21140550;Kalibracja;n/d;Drukarka ma zyzytà g∏owic´. Nalezy zakupiç nowà drukark´ mobilnà w zamian za obecnà
2024-11-07 00:00:00.000;TCZP3190;IT0037291;INC21186677;Kalibracja;n/d;
2024-11-07 00:00:00.000;TCZP1041;IT0002824;INC21202402;Kalibracja;n/d;
2024-11-07 00:00:00.000;TCZP1185;IT0027931;INC21210614;Kalibracja;n/d;
2024-11-07 00:00:00.000;TCZP1164;IT0020296;INC21201134;Kalibracja;n/a;
2024-11-07 00:00:00.000;TCZP3248;IT0024354;INC21214416;Wymiana mediow;n/a;
2024-11-08 00:00:00.000;TCZP1086;IT0019465;INC21223211;Kalibracja;n/d;
2024-11-12 00:00:00.000;TCZP1086;IT0019465;INC21276988;Kalibracja;n/d;Kalka by∏a êle zalo˝ona. Poinformowano operatora o b∏´dzie.
2024-11-12 00:00:00.000;TCZP1163;IT0003690;INC21256660;Kalibracja;n/d;Drukarka chyba ma problem z trzymaniem ustawieƒ, ale nie zdà˝y∏em zweryfikowaç. Po defaultcie drukuje troch´ lepiej, jednak dalej im nie pasuje
2024-11-18 00:00:00.000;TCZP3203;IT0024174;INC21284372;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Demonta˝ frontu drukarki od rewindera. Zmiana prarametrów Tear- Off, zmiana offsetów, Kalibracja 
2024-11-19 00:00:00.000;TCZP3170;IT0028325;INC21293613;Kalibracja;n/d;Drukarka robi dziwne niedodruki w okolicach kraw´dzi drukowanego obszaru. Pomog∏o zwi´kszenie darknessu, jednak dalej nie jest idealnie.
